what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1267762207906
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267762226937
opened,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1267762228234
opened,view,org.eclipse.ui.views,3.3.0.I20080509-2000,org.eclipse.ui.views.ContentOutline,1267762228406
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267762276171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267762286343
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1267762311062
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267762398031
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1267762398125
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267762463828
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267762703593
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1267762943890
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267762947421
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267763082937
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267763096703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267763096718
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267763096843
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267763382171
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267763396265
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267763396281
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267763396375
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267763538562
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1267763545250
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1267763568546
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1267763648109
